feature,coef,OR
cat__mold_ever_1.0,0.14376227451495815,1.154609595770679
cat__parent_AR_1.0,0.11548815397844021,1.1224212182435749
cat__child_passive_smoke_1.0,0.09341349139122425,1.0979156200800777
cat__antibiotic_3.0,0.08112907897481797,1.084510875084359
cat__sibling_allergy_1.0,0.06319163742557592,1.065230957790698
cont__outdoor_avg,0.06275609288550754,1.0647671032851018
cat__parent_AD_1.0,0.031099030664930492,1.0315876576399323
cat__parent_asthma_1.0,0.028229195171917843,1.0286314147602114
cat__antibiotic_4.0,0.028216513952498138,1.0286183705422474
cat__antibiotic_2.0,0.02339089909908358,1.0236666117044775
cat__pet_ever_0.0,0.01666063610653025,1.016800198493028
cat__passive_smoke_ever_0.0,0.016203502645461693,1.0163354913237663
cont__rural_years,-0.004373585644679089,0.9956359645530743
cat__passive_smoke_ever_1.0,-0.016154924418678166,0.9839748665120135
cat__pet_ever_1.0,-0.016612057879746737,0.9835251614711226
cat__parent_asthma_0.0,-0.028180616945134313,0.9722127528448566
cat__parent_AD_0.0,-0.03105045243814701,0.9694266619034946
cat__sibling_allergy_0.0,-0.06314305919879236,0.9388091587957955
cat__child_passive_smoke_0.0,-0.09336491316444076,0.910861054453151
cat__parent_AR_0.0,-0.11543957575165671,0.8909744070694374
cat__antibiotic_1.0,-0.13268791379961614,0.875738355321557
cat__mold_ever_0.0,-0.14371369628817468,0.8661356904272149
