covariate,coef,HR,CI_lower,CI_upper,p_value,유의
eat_breakfast_avg,0.18306656929665374,1.2008943481121348,1.0530463093116746,1.369500298871311,0.006313247694144698,✅
mold_ever,0.30085678066691107,1.351015836094448,1.0437076810593156,1.7488074702348089,0.022321518201134746,✅
parent_AD,0.309995527640278,1.363419016418249,0.9162637094392728,2.028795198566258,0.12633666950075795,❌
area_apt,-0.18647239577842137,0.8298814698671451,0.6311860774035603,1.091125547099985,0.18174067388511975,❌
breastfed,-0.6314673557102924,0.5318108724765241,0.16720225676833098,1.6915011169742178,0.28478518182878654,❌
breastfed_months,0.009615787229176012,1.0096621674527813,0.9919911715657759,1.0276479484957326,0.28579979227227126,❌
antibiotic,0.05463803803225318,1.0561582563593608,0.9342134582237686,1.1940207590210727,0.3827446238881683,❌
sex,-0.10113713629774534,0.9038090793557828,0.7007845281981357,1.1656519501454952,0.43590152573209484,❌
parent_AR,0.10797436840379468,1.1140191909304542,0.8472651644482712,1.4647583895054783,0.4394284344877647,❌
sibling_allergy,0.056846852517487244,1.0584936923375936,0.8019007766181433,1.3971914348849659,0.6881727981087769,❌
parent_asthma,0.09340623196527666,1.0979076498718665,0.6557699340362971,1.838146497854605,0.7224106933094632,❌
