variable,HR,CI_lower,CI_upper,p_value,selected
area_apt,0.591,0.492,0.709,0.0,True
breastfed,5.848,2.416,14.154,0.0001,True
breastfed_months,1.026,1.011,1.041,0.0006,True
parent_AD,1.631,1.165,2.283,0.0044,True
eat_breakfast_avg,1.152,1.026,1.293,0.0163,True
mold_ever,1.292,1.022,1.633,0.0324,True
parent_AR,1.259,0.994,1.594,0.0558,True
sex,0.812,0.647,1.02,0.0734,True
sibling_allergy,1.242,0.971,1.588,0.0838,True
antibiotic,1.101,0.986,1.23,0.0879,True
parent_asthma,1.378,0.891,2.132,0.1498,True
child_passive_smoke,1.163,0.92,1.47,0.2077,False
eat_delivery_avg,1.14,0.899,1.445,0.2794,False
area_type_w6,1.064,0.929,1.219,0.3724,False
rural_years,1.029,0.961,1.102,0.416,False
area_rural,1.185,0.72,1.95,0.5049,False
pet_ever,0.834,0.468,1.487,0.5382,False
eat_speed,0.977,0.846,1.128,0.7523,False
eat_amount,0.977,0.84,1.135,0.7595,False
passive_smoke_ever,0.965,0.766,1.215,0.7604,False
outdoor_avg,0.984,0.881,1.1,0.7825,False
eat_picky,0.985,0.875,1.108,0.7973,False
eat_regularity,0.982,0.847,1.138,0.8095,False
antibiotic_high,0.981,0.782,1.23,0.8677,False
eat_snack_avg,0.991,0.841,1.168,0.9148,False
